CustomerID,Age,Location,IncomeLevel,SignupDate,InteractionID,InteractionDate,Platform,InteractionType,Sentiment,TransactionID,TransactionDate,Amount,ProductCategory,PaymentMethod,Gender_Female,Gender_Male,CustomerID_label,Location_label,IncomeLevel_label,InteractionID_label,Platform_label,InteractionType_label,TransactionID_label,ProductCategory_label,PaymentMethod_label
0009fdd2-ae63-45ca-8d5b-d0ea98381f7b,-1.4683805542720065,Lake George,Low,2020-11-09,26af70c2-acba-461c-95b8-8200de6b154a,2024-02-16,Instagram,Share,,86cd577d-4ffd-498d-94ce-e68e6cca8865,2023-10-26,-0.3738841635324939,Home & Garden,Bank Transfer,True,False,-1.7442277502960442,-0.5663135450732316,0.13306766267142497,-1.524460500854946,-0.016252823326776116,0.7688576562345878,0.0998816021187833,1.5119602357167286,-1.3527491457502467
000c6bbd-533a-432d-922c-ab64197e71c5,-1.2161428880214649,North Oliviaton,High,2019-11-06,fff3e62c-3c78-4883-9a34-1d8aad5c1582,2023-07-11,Instagram,Like,,e432cee0-d280-4f2e-b520-fab4bdb2dd31,,0.03791366527483592,Electronics,Debit Card,False,True,-1.7423673425633874,0.38072231257572753,-1.0729836606345422,2.1791973811056504,-0.016252823326776116,-0.4712353376921665,1.3723616661060574,0.01496990332392802,0.4433329242876998
00115fc0-f155-42cd-ba68-58aab67b3360,-0.5224893058324758,Nelsonstad,Low,2022-02-16,83975da0-a803-448e-917a-7db7464f8c61,,Instagram,Share,,dbb294f9-9197-48a3-ac56-1b5b13c71388,2023-02-27,-1.2184323525541803,Electronics,Credit Card,False,True,-1.7405069348307305,-0.1136423175177543,0.13306766267142497,0.05801150325549053,-0.016252823326776116,0.7688576562345878,1.2615104082632458,0.01496990332392802,-0.45470811073127343
00115fc0-f155-42cd-ba68-58aab67b3360,-0.5224893058324758,Nelsonstad,Low,2022-02-16,83975da0-a803-448e-917a-7db7464f8c61,,Instagram,Share,,0b426411-5a12-436d-b899-3c8374eb374a,2023-03-06,-0.7252419978964779,Electronics,Bank Transfer,False,True,-1.7405069348307305,-0.1136423175177543,0.13306766267142497,0.05801150325549053,-0.016252823326776116,0.7688576562345878,-1.584826576971446,0.01496990332392802,-1.3527491457502467
0047d8ce-a5bb-4db7-860f-6ff66e1cd060,-0.2702516395819342,Mitchellview,Medium,2021-11-11,83975da0-a803-448e-917a-7db7464f8c61,,Instagram,Share,,8865b5c2-7091-4c67-b872-9f44e8a09913,2023-10-18,-0.8402839310236049,Clothing,Credit Card,False,True,-1.7386465270980738,-0.15335031993490145,1.339118985977392,0.05801150325549053,-0.016252823326776116,0.7688576562345878,0.12182091356683976,-0.7335252628724723,-0.45470811073127343
0064a8b2-71d3-41c1-a46a-6eea56fdff91,-0.018013973331392676,New Wesley,Low,2022-06-18,83975da0-a803-448e-917a-7db7464f8c61,,Instagram,Share,,445b7dfb-f859-4d98-a53e-cc147f6cfeec,2022-09-25,1.5727671774987901,Home & Garden,PayPal,True,False,-1.7367861193654168,0.15835749903970356,0.13306766267142497,0.05801150325549053,-0.016252823326776116,0.7688576562345878,-0.7707626521882989,1.5119602357167286,1.3413739593066731
0064a8b2-71d3-41c1-a46a-6eea56fdff91,-0.018013973331392676,New Wesley,Low,2022-06-18,83975da0-a803-448e-917a-7db7464f8c61,,Instagram,Share,,e815b8f4-37d5-4236-85a7-1ed0dadd45e9,2023-03-28,1.0293981963432344,Electronics,Debit Card,True,False,-1.7367861193654168,0.15835749903970356,0.13306766267142497,0.05801150325549053,-0.016252823326776116,0.7688576562345878,1.4173949896046996,0.01496990332392802,0.4433329242876998
0064a8b2-71d3-41c1-a46a-6eea56fdff91,-0.018013973331392676,New Wesley,Low,2022-06-18,83975da0-a803-448e-917a-7db7464f8c61,,Instagram,Share,,f9d78a66-cb37-4a0b-883d-2d88143c1d68,2023-04-03,0.8926515896560078,Electronics,Credit Card,True,False,-1.7367861193654168,0.15835749903970356,0.13306766267142497,0.05801150325549053,-0.016252823326776116,0.7688576562345878,1.6414069064953811,0.01496990332392802,-0.45470811073127343
0064a8b2-71d3-41c1-a46a-6eea56fdff91,-0.018013973331392676,New Wesley,Low,2022-06-18,83975da0-a803-448e-917a-7db7464f8c61,,Instagram,Share,,7df9fe14-f574-4b83-aed4-ae7a7fd742f0,2023-09-06,-0.7053639552795553,Electronics,Bank Transfer,True,False,-1.7367861193654168,0.15835749903970356,0.13306766267142497,0.05801150325549053,-0.016252823326776116,0.7688576562345878,-0.024826062954379665,0.01496990332392802,-1.3527491457502467
00742b15-bab0-440f-a085-221ce13d95a0,0.423401942607055,Alexisview,Medium,,83975da0-a803-448e-917a-7db7464f8c61,,Instagram,Share,,6700feab-2eca-4f98-958b-d37a8fd90571,2022-07-14,-1.2212976559944573,Clothing,PayPal,True,False,-1.73492571163276,-1.7238018155330705,1.339118985977392,0.05801150325549053,-0.016252823326776116,0.7688576562345878,-0.3019542075614085,-0.7335252628724723,1.3413739593066731
00742b15-bab0-440f-a085-221ce13d95a0,0.423401942607055,Alexisview,Medium,,83975da0-a803-448e-917a-7db7464f8c61,,Instagram,Share,,6a0678ea-8aea-48e6-9655-9e9a0f1fd8a8,2024-02-18,-0.0041167545647291925,Electronics,Credit Card,True,False,-1.73492571163276,-1.7238018155330705,1.339118985977392,0.05801150325549053,-0.016252823326776116,0.7688576562345878,-0.27077729129311773,0.01496990332392802,-0.45470811073127343
00a9563c-fec7-4b5d-87a2-d59406006a29,0.0450454432312427,South Danielleberg,Medium,2019-09-27,83975da0-a803-448e-917a-7db7464f8c61,,Instagram,Share,,d8241522-af30-4228-8891-336b4dc320d9,2024-02-07,-1.7241405016165934,Home & Garden,Debit Card,True,False,-1.7330653039001032,1.0200211514917963,1.339118985977392,0.05801150325549053,-0.016252823326776116,0.7688576562345878,1.214167683559545,1.5119602357167286,0.4433329242876998
00a9563c-fec7-4b5d-87a2-d59406006a29,0.0450454432312427,South Danielleberg,Medium,2019-09-27,83975da0-a803-448e-917a-7db7464f8c61,,Instagram,Share,,a300403d-ec6b-4f7a-98ed-1da26e2d2bcd,2023-12-08,0.12600383791685627,Home & Garden,Debit Card,True,False,-1.7330653039001032,1.0200211514917963,1.339118985977392,0.05801150325549053,-0.016252823326776116,0.7688576562345878,0.47054049553068433,1.5119602357167286,0.4433329242876998
00a9563c-fec7-4b5d-87a2-d59406006a29,0.0450454432312427,South Danielleberg,Medium,2019-09-27,83975da0-a803-448e-917a-7db7464f8c61,,Instagram,Share,,7e6908b0-5c46-45c8-9698-16dea235e25c,2024-01-08,-0.918363449771157,Health & Beauty,Bank Transfer,True,False,-1.7330653039001032,1.0200211514917963,1.339118985977392,0.05801150325549053,-0.016252823326776116,0.7688576562345878,-0.016743158736674656,0.7634650695203283,-1.3527491457502467
